"","X1","Label","Months.closed","F.Mortality","Selectivity","year","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","CatchTotal","RevenueTotal","Biomass","Profit"
"25",25,"10-0.576057-32",2,0.318057,32,4,196713.546620919,146676.112766957,109223.742784435,62963.7797763396,37107.5104008575,22034.6003374015,11100.4453166604,6253.33697268169,3523.45296366422,1985.7210845585,1119.35986081357,631.149652896229,355.972497060444,200.832217574191,113.343248389437,63.9907210999945,36.1420322313503,77.4046611987334,124612.571412798,488012.860156286,730542805.433266,63558.172485078
"26",26,"10-0.576057-32",2,0.318057,32,5,201931.566366428,151979.948210166,113321.265387729,64738.1689161911,37319.3566421477,21994.0483190654,13060.1611177047,6579.36164459394,3706.42476541301,2088.39110723511,1176.95973160618,663.457467213621,374.08966035189,210.988994304098,119.035565836552,67.1798472812529,37.9280365791555,91.7572663935164,130291.731638717,511706.57536102,760152653.350895,87251.8876898114
"27",27,"10-0.576057-32",2,0.318057,32,6,206129.588286494,156011.365386586,117418.983363032,67166.8177032367,38371.0574988513,22119.6120234696,13036.125469905,7740.90774548269,3899.66333921612,2196.84059913625,1237.81343521699,697.597573291857,393.238873584037,221.727245416392,125.055604253313,70.5537493195964,39.8182683561861,108.771174831374,135625.698894604,533076.168666133,788626458.930648,108621.480994925
"28",28,"10-0.576057-32",2,0.318057,32,7,209926.129759741,159254.73710631,120533.637052168,69595.5822895193,39810.5455753967,22742.9672205622,13110.5485220568,7726.66154051296,4588.12507625517,2311.37532494837,1302.09269672726,733.666263515259,413.474107222491,233.077204401788,131.420289226105,74.1218953469251,41.8180189094705,128.939853367661,140825.805476793,553590.08168242,815788321.168003,129135.394011212
"29",29,"10-0.576057-32",2,0.318057,32,8,213565.693617326,162187.926947036,123039.450578777,71441.6733636978,41250.1022874822,23596.1683641648,13480.0183187823,7770.77293972559,4579.68118667372,2719.43451692033,1369.97874638432,771.765321315108,434.852434871241,245.070860176159,138.147540492697,77.8943173530098,43.9329001097122,152.848268966921,145825.010153805,573445.335797,841281875.975825,148990.648125792
"30",30,"10-0.576057-32",2,0.318057,32,9,216990.536811192,164999.836630355,125305.619064587,72926.8978691265,42344.3017055585,24449.4101888417,13985.720452274,7989.76193882127,4605.82652046797,2714.42972642242,1611.84012399543,812.002163943965,457.434184740976,257.74204092119,145.256318251542,81.8816365725845,46.1688580326618,181.189854928466,150523.751141827,592382.16999254,864943584.954698,167927.482321331
"31",31,"10-0.576057-32",2,0.318057,32,10,220093.977296414,167645.85415265,127478.087079035,74270.0820018698,43224.6113567363,25097.9547721858,14491.4466979064,8289.4974112073,4735.62381959756,2729.92636655206,1608.87372708956,955.356184955613,481.283024273074,271.126503861408,152.766672855105,86.0950909334011,48.5321880063385,214.78662304055,154879.039295537,610042.972146019,886822502.772226,185588.284474811
"32",32,"10-0.576057-32",2,0.318057,32,11,222861.023961557,170043.55747466,129522.387600831,75557.7287872572,44020.7320449158,25619.724429988,14875.8465336553,8589.24717513652,4913.28048239658,2806.85871900312,1618.05876397596,953.597967382496,566.250601747353,285.261985421779,160.699798021731,90.5465645100349,51.0295508798078,254.613004990687,158903.596501567,626358.586457773,907050031.306154,201903.898786565
"33",33,"10-0.576057-32",2,0.318057,32,12,225335.653221278,172181.364535167,131374.841755422,76769.4092252431,44783.9351083864,26091.5943208665,15185.1054125494,8817.08538012443,5090.94561595766,2912.15786690055,1663.65745434428,959.042044414603,565.2084859643,335.623246102852,169.078060564638,95.2486190631727,53.6679904807911,301.824114522014,162627.908459198,641430.825308579,925751356.551778,216976.137637371
"34",34,"10-0.576057-32",2,0.318057,32,13,227569.319868286,174093.25130246,133026.501297535,77867.3801142844,45502.1120437949,26543.9535568783,15464.7881255146,9000.38667552314,5225.98794122552,3017.46203551612,1726.06947072033,986.068912787422,568.435253052779,335.005572089184,198.927759152959,100.214511660329,56.454952309365,357.789250043727,166076.553245271,655387.749090348,943035434.900683,230933.06141914
