"","Label","Months.closed","F.Mortality","Selectivity","year","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","CatchTotal","RevenueTotal","Biomass","Profit"
"290","75-0.576057",0,0.318057,75,16,306078.291942189,235105.896347686,180359.446545973,138154.529847868,105632.711634098,80570.6936025959,44559.4036122349,24534.0486851698,13446.0463460846,7345.73151154294,4008.04523692736,2177.17304008517,1163.3084786531,603.276152774396,304.587165599383,154.283592068427,86.2321143703929,255.211131106419,260494.357961321,1122730.68281329,2075408789.98128,870392.310895518
"291","75-0.576057",0,0.318057,75,17,307531.63247121,236474.629005968,181641.694558448,139344.848466863,106737.531054437,81611.3293630304,45289.6251307604,25047.3043660549,13790.8440179465,7558.16254367436,4129.11210756009,2252.96392734196,1223.81161711978,653.907798901421,339.107801953928,171.21161470543,86.7244122667087,286.91366401827,266969.685940769,1150639.34640471,2107346516.09913,898300.974486938
"292","75-0.576057",0,0.318057,75,18,308725.5279494,237597.472969317,182699.170884266,140335.50716768,107657.165544161,82464.9075795235,45874.5773184653,25457.7694788358,14079.3503760793,7751.97690229968,4248.52180085163,2321.0168749032,1266.4144633745,687.917242507626,367.568377013101,190.616023552697,96.239829909957,322.554311183482,272478.029007044,1174380.30502036,2134199201.3983,922041.933102585
"293","75-0.576057",0,0.318057,75,19,309706.90458403,238519.870923401,183566.674776749,141152.508335072,108422.543733057,83175.4128015648,46354.3825145758,25786.5771893819,14310.0770864487,7914.14932782357,4357.4668682777,2388.13830583971,1304.66773322091,711.864745627017,386.685439098081,206.614008897014,107.147250006294,362.622268336533,277128.639816571,1194424.43760942,2156659266.63805,942086.065691645
"294","75-0.576057",0,0.318057,75,20,310512.68815253,239278.077832217,184279.315038179,141822.73770624,109053.75493961,83766.7403410649,46753.7648919749,26056.2806820044,14494.903321459,8043.84321220074,4448.62567590508,2449.37746170336,1342.39738788105,733.367306594342,400.146579751089,217.359908388716,116.139884011224,407.667499501293,281032.470097127,1211249.94611862,2175436380.19895,958911.574200843
"295","82-0.576057",0,0.318057,82,0,176958.348523671,136969.251701554,89942.9181316662,50668.5416070175,28549.2727914244,16089.5841424226,9069.77057667427,5113.97875849846,2884.31718249883,1627.27126598835,918.379598282211,518.493810373965,292.845895219848,165.472418969579,93.5451845580588,52.9111236627982,29.9450341270776,39.1988840684049,39884.6063479966,171902.653359865,586703772.311464,0
"296","82-0.576057",0,0.318057,82,1,177968.601181278,136717.176350904,105821.790809874,69489.4697103091,39146.2736633932,22057.0320387745,12430.7359950189,5098.21240295669,2874.62066593907,1621.30469669153,914.706108727054,516.230727007165,291.45076521595,164.611724469026,93.0137682762967,52.5827214833084,29.7418930976936,44.0682011193458,38015.1853220024,163845.44873783,727596552.515904,-8057.20462203521
"297","82-0.576057",0,0.318057,82,2,201698.621663794,137497.692737395,105627.038595831,81757.4110327257,53687.2329798236,30244.2243870906,17041.157787587,6987.44603206095,2865.75823345602,1615.85418385082,911.352238049181,514.165820309261,290.178662510374,163.827507378916,92.5299629428784,52.2840068624799,29.5572948159092,49.5423886686716,42783.6302943557,184397.446568673,885475671.213885,12494.7932088079
"298","82-0.576057",0,0.318057,82,3,226601.539011557,155831.393419986,106230.061834615,81606.9464007134,63165.3859532903,41478.5002252256,23366.5435602383,9579.01208844858,3927.7161119445,1610.87251834744,908.288448074332,512.280574707589,289.017956972212,163.112445213167,92.0891463575401,52.0120548510593,29.3893842197174,55.6965842184155,52724.6154846503,227243.092738843,1047234497.203,55340.4393789776
"299","82-0.576057",0,0.318057,82,4,246802.725591202,175071.268628421,120394.59156886,82072.8392798475,63049.1376959968,48801.276021706,32046.0915089555,13134.5772405102,5384.46235486895,2207.81009044563,905.48820206568,510.558386487085,287.958240805435,162.460000554196,91.6872024746725,51.764267262189,29.2365171647117,62.6152589118233,68605.407747603,295689.307392169,1205137735.43953,123786.654032304
